,nac,region,sexo,edad,edu,ingreso,esc,region,prof,ing_nivel
129,1,1,2,52,11,282833,12,1,0,0
130,1,1,1,52,11,421667,11,1,0,0
131,1,1,2,20,11,352500,12,1,0,0
132,1,1,1,25,9,250000,12,1,0,0
133,1,1,1,26,9,450000,10,1,0,0
134,1,1,2,24,7,120000,8,1,0,0
135,1,1,1,31,9,406667,10,1,0,0
136,1,1,1,53,9,"6,00E+05",12,1,0,1
137,1,1,2,46,7,410000,8,1,0,0
138,3,1,2,32,9,356667,12,1,0,0
139,1,1,1,25,9,303333,12,1,0,0
140,1,1,2,43,15,80000,16,1,1,0
141,1,1,1,23,14,"3,00E+05",16,1,0,0
142,3,1,1,46,9,260000,12,1,0,0
143,3,1,1,36,7,265000,8,1,0,0
144,3,1,2,56,7,435000,1,1,0,0
145,1,1,2,30,11,2850000,11,1,0,1
146,1,1,1,42,7,275000,8,1,0,0
147,1,1,2,68,7,250000,8,1,0,0
148,1,1,2,62,9,"3,00E+05",12,1,0,0
149,1,1,1,65,10,404167,12,1,0,0
150,1,1,2,34,11,390000,12,1,0,0
151,1,1,1,38,9,452917,12,1,0,0
152,1,1,2,48,9,"2,00E+05",12,1,0,0
153,3,1,2,37,9,"3,00E+05",12,1,0,0
154,3,1,2,22,9,"2,00E+05",12,1,0,0
155,3,1,1,42,14,"3,00E+05",15,1,0,0
156,1,1,2,67,7,186000,5,1,0,0
157,1,1,2,32,9,186000,12,1,0,0
158,1,1,2,40,11,"3,00E+05",12,1,0,0
159,1,1,1,40,9,"1,00E+06",12,1,0,1
160,1,1,2,20,11,220000,12,1,0,0
161,1,1,2,34,9,"5,00E+05",12,1,0,0
162,1,1,1,41,9,"6,00E+05",12,1,0,1
163,1,1,2,36,15,280000,16,1,1,0
164,1,1,1,33,14,380000,15,1,0,0
165,1,1,1,64,6,250000,3,1,0,0
166,1,1,1,54,7,"3,00E+05",6,1,0,0
167,1,1,1,44,13,550000,15,1,0,1
168,1,1,1,54,7,130000,8,1,0,0
169,1,1,2,52,7,"1,00E+05",8,1,0,0
